q101 AP880212-0047 WSJ880125-0124
q101 AP880330-0014 WSJ880125-0124 AP880212-0047
q101 WSJ880420-0116 WSJ880125-0124 AP880212-0047 AP880330-0014
q101 AP880513-0046 WSJ880125-0124 AP880212-0047 AP880330-0014 WSJ880420-0116
q119 AP900621-0121 AP900621-0030 AP900621-0031 AP900621-0068 AP900621-0083 AP900621-0087
q119 AP900621-0166 AP900621-0068 AP900621-0083 AP900621-0087 AP900621-0121 AP900621-0129
q119 AP900621-0185 AP900621-0083 AP900621-0087 AP900621-0121 AP900621-0129 AP900621-0166
q119 AP900622-0012 AP900621-0087 AP900621-0121 AP900621-0129 AP900621-0166 AP900621-0185
q119 AP900623-0050 AP900621-0121 AP900621-0129 AP900621-0166 AP900621-0185 AP900622-0012
q119 AP900623-0062 AP900621-0129 AP900621-0166 AP900621-0185 AP900622-0012 AP900623-0050
q119 AP900627-0100 AP900621-0166 AP900621-0185 AP900622-0012 AP900623-0050 AP900623-0062
q119 AP900627-0129 AP900621-0185 AP900622-0012 AP900623-0050 AP900623-0062 AP900627-0100
q119 AP900628-0057 AP900622-0012 AP900623-0050 AP900623-0062 AP900627-0100 AP900627-0129
q119 AP900702-0139 AP900623-0050 AP900623-0062 AP900627-0100 AP900627-0129 AP900628-0057
q119 AP900703-0009 AP900623-0062 AP900627-0100 AP900627-0129 AP900628-0057 AP900702-0139
q119 AP900707-0067 AP900627-0100 AP900627-0129 AP900628-0057 AP900702-0139 AP900703-0009
q119 AP900708-0066 AP900628-0057 AP900702-0139 AP900703-0009 AP900707-0067 AP900707-0135
q119 AP900709-0035 AP900702-0139 AP900703-0009 AP900707-0067 AP900707-0135 AP900708-0066
q119 AP900709-0105 AP900703-0009 AP900707-0067 AP900707-0135 AP900708-0066 AP900709-0035
q119 AP900710-0102 AP900707-0067 AP900707-0135 AP900708-0066 AP900709-0035 AP900709-0105
q119 WSJ900711-0069 AP900707-0135 AP900708-0066 AP900709-0035 AP900709-0105 AP900710-0102
q119 AP900712-0037 AP900708-0066 AP900709-0035 AP900709-0105 AP900710-0102 WSJ900711-0069
q119 AP900713-0044 AP900709-0035 AP900709-0105 AP900710-0102 WSJ900711-0069 AP900712-0037
q119 AP900714-0073 AP900709-0105 AP900710-0102 WSJ900711-0069 AP900712-0037 AP900713-0044
q119 AP900715-0066 AP900710-0102 WSJ900711-0069 AP900712-0037 AP900713-0044 AP900714-0073
q119 AP900716-0133 WSJ900711-0069 AP900712-0037 AP900713-0044 AP900714-0073 AP900715-0066
q119 AP900717-0042 AP900712-0037 AP900713-0044 AP900714-0073 AP900715-0066 AP900716-0133
q119 AP900721-0063 AP900713-0044 AP900714-0073 AP900715-0066 AP900716-0133 AP900717-0042
q119 AP900722-0057 AP900714-0073 AP900715-0066 AP900716-0133 AP900717-0042 AP900721-0063
q119 AP900724-0197 AP900715-0066 AP900716-0133 AP900717-0042 AP900721-0063 AP900722-0057
q119 AP900726-0143 AP900716-0133 AP900717-0042 AP900721-0063 AP900722-0057 AP900724-0197
q119 AP900727-0219 AP900717-0042 AP900721-0063 AP900722-0057 AP900724-0197 AP900726-0143
q119 AP900730-0080 AP900721-0063 AP900722-0057 AP900724-0197 AP900726-0143 AP900727-0219
q119 AP900801-0124 AP900722-0057 AP900724-0197 AP900726-0143 AP900727-0219 AP900730-0080
q119 AP900802-0041 AP900724-0197 AP900726-0143 AP900727-0219 AP900730-0080 AP900801-0124
q119 WSJ900803-0141 AP900726-0143 AP900727-0219 AP900730-0080 AP900801-0124 AP900802-0041
q119 AP900804-0049 AP900727-0219 AP900730-0080 AP900801-0124 AP900802-0041 WSJ900803-0141
q119 AP900804-0080 AP900730-0080 AP900801-0124 AP900802-0041 WSJ900803-0141 AP900804-0049
q119 AP900808-0115 AP900801-0124 AP900802-0041 WSJ900803-0141 AP900804-0049 AP900804-0080
q119 AP900808-0156 AP900802-0041 WSJ900803-0141 AP900804-0049 AP900804-0080 AP900808-0115
q119 AP900810-0026 WSJ900803-0141 AP900804-0049 AP900804-0080 AP900808-0115 AP900808-0156
q119 AP900810-0064 AP900804-0049 AP900804-0080 AP900808-0115 AP900808-0156 AP900810-0026
q119 AP900810-0117 AP900804-0080 AP900808-0115 AP900808-0156 AP900810-0026 AP900810-0064
q119 AP900811-0114 AP900808-0115 AP900808-0156 AP900810-0026 AP900810-0064 AP900810-0117
q119 AP900813-0025 AP900808-0156 AP900810-0026 AP900810-0064 AP900810-0117 AP900811-0114
q119 AP900814-0028 AP900810-0026 AP900810-0064 AP900810-0117 AP900811-0114 AP900813-0025
q119 AP900817-0013 AP900810-0064 AP900810-0117 AP900811-0114 AP900813-0025 AP900814-0028
q119 AP900819-0021 AP900810-0117 AP900811-0114 AP900813-0025 AP900814-0028 AP900817-0013
q119 AP900820-0008 AP900811-0114 AP900813-0025 AP900814-0028 AP900817-0013 AP900819-0021
q119 WSJ900820-0111 AP900813-0025 AP900814-0028 AP900817-0013 AP900819-0021 AP900820-0008
q119 AP900823-0009 AP900814-0028 AP900817-0013 AP900819-0021 AP900820-0008 WSJ900820-0111
q119 AP900829-0060 AP900817-0013 AP900819-0021 AP900820-0008 WSJ900820-0111 AP900823-0009
q119 AP900830-0162 AP900819-0021 AP900820-0008 WSJ900820-0111 AP900823-0009 AP900829-0060
q119 AP900901-0001 AP900820-0008 WSJ900820-0111 AP900823-0009 AP900829-0060 AP900830-0162
q119 AP900904-0156 WSJ900820-0111 AP900823-0009 AP900829-0060 AP900830-0162 AP900901-0001
q119 AP900907-0155 AP900823-0009 AP900829-0060 AP900830-0162 AP900901-0001 AP900904-0156
q119 AP900907-0169 AP900829-0060 AP900830-0162 AP900901-0001 AP900904-0156 AP900907-0155
q119 AP900908-0081 AP900830-0162 AP900901-0001 AP900904-0156 AP900907-0155 AP900907-0169
q119 AP900909-0027 AP900901-0001 AP900904-0156 AP900907-0155 AP900907-0169 AP900908-0081
q119 AP900909-0062 AP900904-0156 AP900907-0155 AP900907-0169 AP900908-0081 AP900909-0027
q119 AP900910-0043 AP900907-0155 AP900907-0169 AP900908-0081 AP900909-0027 AP900909-0062
q119 AP900910-0069 AP900907-0169 AP900908-0081 AP900909-0027 AP900909-0062 AP900910-0043
q119 AP900910-0084 AP900908-0081 AP900909-0027 AP900909-0062 AP900910-0043 AP900910-0069
q119 WSJ900910-0130 AP900909-0027 AP900909-0062 AP900910-0043 AP900910-0069 AP900910-0084
q119 AP900910-0139 AP900909-0062 AP900910-0043 AP900910-0069 AP900910-0084 WSJ900910-0130
q119 AP900910-0209 AP900910-0043 AP900910-0069 AP900910-0084 WSJ900910-0130 AP900910-0139
q119 AP900911-0020 AP900910-0069 AP900910-0084 WSJ900910-0130 AP900910-0139 AP900910-0209
q119 AP900911-0157 AP900910-0084 WSJ900910-0130 AP900910-0139 AP900910-0209 AP900911-0020
q119 AP900913-0016 WSJ900910-0130 AP900910-0139 AP900910-0209 AP900911-0020 AP900911-0157
q119 AP900913-0115 AP900910-0139 AP900910-0209 AP900911-0020 AP900911-0157 AP900913-0016
q119 AP900914-0021 AP900910-0209 AP900911-0020 AP900911-0157 AP900913-0016 AP900913-0115
q119 AP900914-0164 AP900911-0020 AP900911-0157 AP900913-0016 AP900913-0115 AP900914-0021
q119 AP900918-0063 AP900911-0157 AP900913-0016 AP900913-0115 AP900914-0021 AP900914-0164
q119 AP900918-0159 AP900913-0016 AP900913-0115 AP900914-0021 AP900914-0164 AP900918-0063
q119 AP900924-0179 AP900913-0115 AP900914-0021 AP900914-0164 AP900918-0063 AP900918-0159
q119 AP900925-0061 AP900914-0021 AP900914-0164 AP900918-0063 AP900918-0159 AP900924-0179
q119 AP900925-0089 AP900914-0164 AP900918-0063 AP900918-0159 AP900924-0179 AP900925-0061
q119 AP900929-0105 AP900918-0063 AP900918-0159 AP900924-0179 AP900925-0061 AP900925-0089
q119 AP901002-0177 AP900918-0159 AP900924-0179 AP900925-0061 AP900925-0089 AP900929-0105
q119 AP901004-0156 AP900924-0179 AP900925-0061 AP900925-0089 AP900929-0105 AP901002-0177
q119 AP901006-0033 AP900925-0061 AP900925-0089 AP900929-0105 AP901002-0177 AP901004-0156
q119 AP901006-0050 AP900925-0089 AP900929-0105 AP901002-0177 AP901004-0156 AP901006-0033
q119 AP901008-0023 AP900929-0105 AP901002-0177 AP901004-0156 AP901006-0033 AP901006-0050
q119 AP901009-0183 AP901002-0177 AP901004-0156 AP901006-0033 AP901006-0050 AP901008-0023
q119 AP901012-0178 AP901004-0156 AP901006-0033 AP901006-0050 AP901008-0023 AP901009-0183
q119 AP901013-0012 AP901006-0033 AP901006-0050 AP901008-0023 AP901009-0183 AP901012-0178
q119 AP901013-0046 AP901006-0050 AP901008-0023 AP901009-0183 AP901012-0178 AP901013-0012
q119 AP901014-0053 AP901009-0183 AP901012-0178 AP901013-0012 AP901013-0046 AP901013-0079
q119 AP901016-0084 AP901012-0178 AP901013-0012 AP901013-0046 AP901013-0079 AP901014-0053
q119 AP901024-0036 AP901013-0012 AP901013-0046 AP901013-0079 AP901014-0053 AP901016-0084
q119 AP901025-0121 AP901013-0046 AP901013-0079 AP901014-0053 AP901016-0084 AP901024-0036
q119 AP901027-0043 AP901013-0079 AP901014-0053 AP901016-0084 AP901024-0036 AP901025-0121
q119 AP901031-0036 AP901014-0053 AP901016-0084 AP901024-0036 AP901025-0121 AP901027-0043
q119 AP901031-0155 AP901016-0084 AP901024-0036 AP901025-0121 AP901027-0043 AP901031-0036
q119 AP901101-0032 AP901024-0036 AP901025-0121 AP901027-0043 AP901031-0036 AP901031-0155
q119 AP901101-0082 AP901025-0121 AP901027-0043 AP901031-0036 AP901031-0155 AP901101-0032
q119 AP901102-0063 AP901027-0043 AP901031-0036 AP901031-0155 AP901101-0032 AP901101-0082
q119 AP901104-0037 AP901031-0036 AP901031-0155 AP901101-0032 AP901101-0082 AP901102-0063
q119 AP901107-0251 AP901101-0032 AP901101-0082 AP901102-0063 AP901104-0037 AP901105-0023
q119 AP901114-0174 AP901101-0082 AP901102-0063 AP901104-0037 AP901105-0023 AP901107-0251
q119 AP901116-0143 AP901102-0063 AP901104-0037 AP901105-0023 AP901107-0251 AP901114-0174
q119 AP901120-0116 AP901104-0037 AP901105-0023 AP901107-0251 AP901114-0174 AP901116-0143
q119 AP901121-0082 AP901105-0023 AP901107-0251 AP901114-0174 AP901116-0143 AP901120-0116
q119 AP901124-0109 AP901107-0251 AP901114-0174 AP901116-0143 AP901120-0116 AP901121-0082
q119 AP901125-0019 AP901114-0174 AP901116-0143 AP901120-0116 AP901121-0082 AP901124-0109
q119 AP901127-0038 AP901116-0143 AP901120-0116 AP901121-0082 AP901124-0109 AP901125-0019
q119 AP901127-0043 AP901120-0116 AP901121-0082 AP901124-0109 AP901125-0019 AP901127-0038
q119 AP901127-0058 AP901121-0082 AP901124-0109 AP901125-0019 AP901127-0038 AP901127-0043
q119 AP901127-0155 AP901124-0109 AP901125-0019 AP901127-0038 AP901127-0043 AP901127-0058
q119 AP901128-0029 AP901125-0019 AP901127-0038 AP901127-0043 AP901127-0058 AP901127-0155
q119 AP901128-0073 AP901127-0038 AP901127-0043 AP901127-0058 AP901127-0155 AP901128-0029
q119 AP901129-0123 AP901127-0058 AP901127-0155 AP901128-0029 AP901128-0073 AP901128-0139
q119 AP901130-0073 AP901127-0155 AP901128-0029 AP901128-0073 AP901128-0139 AP901129-0123
q119 AP901201-0009 AP901128-0029 AP901128-0073 AP901128-0139 AP901129-0123 AP901130-0073
q119 AP901203-0209 AP901128-0073 AP901128-0139 AP901129-0123 AP901130-0073 AP901201-0009
q119 AP901215-0127 AP901128-0139 AP901129-0123 AP901130-0073 AP901201-0009 AP901203-0209
q119 AP901216-0049 AP901129-0123 AP901130-0073 AP901201-0009 AP901203-0209 AP901215-0127
q119 AP901219-0073 AP901130-0073 AP901201-0009 AP901203-0209 AP901215-0127 AP901216-0049
q119 AP901225-0016 AP901201-0009 AP901203-0209 AP901215-0127 AP901216-0049 AP901219-0073
q137 WSJ880201-0168 WSJ880122-0077
q137 AP880212-0171 WSJ880122-0077 WSJ880201-0168
q137 AP880219-0235 WSJ880122-0077 WSJ880201-0168 AP880212-0171
q137 WSJ880414-0045 WSJ880122-0077 WSJ880201-0168 AP880212-0171 AP880219-0235
q137 AP880425-0276 WSJ880122-0077 WSJ880201-0168 AP880212-0171 AP880219-0235 WSJ880414-0045
q137 AP880425-0285 WSJ880201-0168 AP880212-0171 AP880219-0235 WSJ880414-0045 AP880425-0276
q137 WSJ880427-0073 AP880212-0171 AP880219-0235 WSJ880414-0045 AP880425-0276 AP880425-0285
q137 WSJ880518-0057 AP880219-0235 WSJ880414-0045 AP880425-0276 AP880425-0285 WSJ880427-0073
q137 WSJ880520-0101 WSJ880414-0045 AP880425-0276 AP880425-0285 WSJ880427-0073 WSJ880518-0057
q137 AP880528-0125 AP880425-0276 AP880425-0285 WSJ880427-0073 WSJ880518-0057 WSJ880520-0101
q137 AP880620-0219 AP880425-0285 WSJ880427-0073 WSJ880518-0057 WSJ880520-0101 AP880528-0125
q137 WSJ880622-0068 WSJ880427-0073 WSJ880518-0057 WSJ880520-0101 AP880528-0125 AP880620-0219
q137 WSJ880722-0039 WSJ880518-0057 WSJ880520-0101 AP880528-0125 AP880620-0219 WSJ880622-0068
q137 AP880920-0087 WSJ880520-0101 AP880528-0125 AP880620-0219 WSJ880622-0068 WSJ880722-0039
q137 AP881004-0235 AP880528-0125 AP880620-0219 WSJ880622-0068 WSJ880722-0039 AP880920-0087
q137 AP881017-0148 AP880620-0219 WSJ880622-0068 WSJ880722-0039 AP880920-0087 AP881004-0235
q137 WSJ881117-0006 WSJ880622-0068 WSJ880722-0039 AP880920-0087 AP881004-0235 AP881017-0148
q137 AP890206-0206 WSJ880722-0039 AP880920-0087 AP881004-0235 AP881017-0148 WSJ881117-0006
q137 AP890214-0049 AP880920-0087 AP881004-0235 AP881017-0148 WSJ881117-0006 AP890206-0206
q137 AP890301-0017 AP881004-0235 AP881017-0148 WSJ881117-0006 AP890206-0206 AP890214-0049
q137 AP890317-0004 AP881017-0148 WSJ881117-0006 AP890206-0206 AP890214-0049 AP890301-0017
q137 AP890320-0276 WSJ881117-0006 AP890206-0206 AP890214-0049 AP890301-0017 AP890317-0004
q137 AP890322-0332 AP890206-0206 AP890214-0049 AP890301-0017 AP890317-0004 AP890320-0276
q137 AP890327-0096 AP890214-0049 AP890301-0017 AP890317-0004 AP890320-0276 AP890322-0332
q137 AP890425-0233 AP890301-0017 AP890317-0004 AP890320-0276 AP890322-0332 AP890327-0096
q137 AP890501-0071 AP890322-0332 AP890327-0096 AP890425-0233 AP890426-0258 AP890428-0237
q137 AP890501-0131 AP890327-0096 AP890425-0233 AP890426-0258 AP890428-0237 AP890501-0071
q137 AP890502-0016 AP890425-0233 AP890426-0258 AP890428-0237 AP890501-0071 AP890501-0131
q137 AP890503-0135 AP890426-0258 AP890428-0237 AP890501-0071 AP890501-0131 AP890502-0016
q137 AP890517-0238 AP890428-0237 AP890501-0071 AP890501-0131 AP890502-0016 AP890503-0135
q137 AP890614-0239 AP890501-0071 AP890501-0131 AP890502-0016 AP890503-0135 AP890517-0238
q137 AP890623-0114 AP890501-0131 AP890502-0016 AP890503-0135 AP890517-0238 AP890614-0239
q137 AP890623-0253 AP890502-0016 AP890503-0135 AP890517-0238 AP890614-0239 AP890623-0114
q137 AP890719-0257 AP890503-0135 AP890517-0238 AP890614-0239 AP890623-0114 AP890623-0253
q137 AP890725-0035 AP890517-0238 AP890614-0239 AP890623-0114 AP890623-0253 AP890719-0257
q137 WSJ890802-0109 AP890614-0239 AP890623-0114 AP890623-0253 AP890719-0257 AP890725-0035
q137 AP890802-0261 AP890623-0114 AP890623-0253 AP890719-0257 AP890725-0035 WSJ890802-0109
q137 WSJ890803-0039 AP890623-0253 AP890719-0257 AP890725-0035 WSJ890802-0109 AP890802-0261
q137 WSJ890804-0043 WSJ890802-0109 AP890802-0261 WSJ890803-0039 AP890803-0287 AP890803-0292
q137 AP890804-0184 AP890802-0261 WSJ890803-0039 AP890803-0287 AP890803-0292 WSJ890804-0043
q137 AP890809-0189 WSJ890803-0039 AP890803-0287 AP890803-0292 WSJ890804-0043 AP890804-0184
q137 WSJ890816-0082 AP890803-0287 AP890803-0292 WSJ890804-0043 AP890804-0184 AP890809-0189
q137 AP890816-0256 AP890803-0292 WSJ890804-0043 AP890804-0184 AP890809-0189 WSJ890816-0082
q137 WSJ890828-0009 WSJ890804-0043 AP890804-0184 AP890809-0189 WSJ890816-0082 AP890816-0256
q137 AP890828-0236 AP890804-0184 AP890809-0189 WSJ890816-0082 AP890816-0256 WSJ890828-0009
q137 WSJ890829-0126 AP890809-0189 WSJ890816-0082 AP890816-0256 WSJ890828-0009 AP890828-0236
q137 AP890829-0221 WSJ890816-0082 AP890816-0256 WSJ890828-0009 AP890828-0236 WSJ890829-0126
q137 AP890830-0266 AP890816-0256 WSJ890828-0009 AP890828-0236 WSJ890829-0126 AP890829-0221
q137 WSJ890913-0089 WSJ890828-0009 AP890828-0236 WSJ890829-0126 AP890829-0221 AP890830-0266
q137 AP890916-0012 AP890828-0236 WSJ890829-0126 AP890829-0221 AP890830-0266 WSJ890913-0089
q137 AP890919-0137 WSJ890829-0126 AP890829-0221 AP890830-0266 WSJ890913-0089 AP890916-0012
q137 WSJ890920-0011 AP890829-0221 AP890830-0266 WSJ890913-0089 AP890916-0012 AP890919-0137
q137 WSJ890920-0048 AP890830-0266 WSJ890913-0089 AP890916-0012 AP890919-0137 WSJ890920-0011
q137 AP890920-0247 WSJ890913-0089 AP890916-0012 AP890919-0137 WSJ890920-0011 WSJ890920-0048
q137 WSJ890929-0029 AP890916-0012 AP890919-0137 WSJ890920-0011 WSJ890920-0048 AP890920-0247
q137 AP891003-0240 AP890919-0137 WSJ890920-0011 WSJ890920-0048 AP890920-0247 WSJ890929-0029
q137 AP891003-0260 WSJ890920-0011 WSJ890920-0048 AP890920-0247 WSJ890929-0029 AP891003-0240
q137 WSJ891004-0092 WSJ890920-0048 AP890920-0247 WSJ890929-0029 AP891003-0240 AP891003-0260
q137 AP891004-0280 AP890920-0247 WSJ890929-0029 AP891003-0240 AP891003-0260 WSJ891004-0092
q137 AP891009-0186 WSJ890929-0029 AP891003-0240 AP891003-0260 WSJ891004-0092 AP891004-0280
q137 AP891009-0218 AP891003-0240 AP891003-0260 WSJ891004-0092 AP891004-0280 AP891009-0186
q137 WSJ891011-0142 AP891003-0260 WSJ891004-0092 AP891004-0280 AP891009-0186 AP891009-0218
q137 WSJ891023-0054 WSJ891004-0092 AP891004-0280 AP891009-0186 AP891009-0218 WSJ891011-0142
q137 AP891024-0244 AP891004-0280 AP891009-0186 AP891009-0218 WSJ891011-0142 WSJ891023-0054
q137 WSJ891026-0063 AP891009-0186 AP891009-0218 WSJ891011-0142 WSJ891023-0054 AP891024-0244
q137 WSJ891026-0077 AP891009-0218 WSJ891011-0142 WSJ891023-0054 AP891024-0244 WSJ891026-0063
q137 AP891030-0133 WSJ891011-0142 WSJ891023-0054 AP891024-0244 WSJ891026-0063 WSJ891026-0077
q137 AP891106-0269 WSJ891023-0054 AP891024-0244 WSJ891026-0063 WSJ891026-0077 AP891030-0133
q137 AP891120-0199 AP891024-0244 WSJ891026-0063 WSJ891026-0077 AP891030-0133 AP891106-0269
q137 AP891122-0268 WSJ891026-0063 WSJ891026-0077 AP891030-0133 AP891106-0269 AP891120-0199
q137 AP891201-0127 WSJ891026-0077 AP891030-0133 AP891106-0269 AP891120-0199 AP891122-0268
q137 AP891204-0237 AP891030-0133 AP891106-0269 AP891120-0199 AP891122-0268 AP891201-0127
q137 AP891208-0287 AP891106-0269 AP891120-0199 AP891122-0268 AP891201-0127 AP891204-0237
q137 AP900109-0181 AP891120-0199 AP891122-0268 AP891201-0127 AP891204-0237 AP891208-0287
q137 AP900110-0069 AP891122-0268 AP891201-0127 AP891204-0237 AP891208-0287 AP900109-0181
q137 AP900113-0029 AP891201-0127 AP891204-0237 AP891208-0287 AP900109-0181 AP900110-0069
q137 AP900114-0070 AP891204-0237 AP891208-0287 AP900109-0181 AP900110-0069 AP900113-0029
q137 AP900203-0035 AP900109-0181 AP900110-0069 AP900113-0029 AP900114-0070 AP900115-0202
q137 AP900203-0173 AP900110-0069 AP900113-0029 AP900114-0070 AP900115-0202 AP900203-0035
q137 AP900204-0064 AP900113-0029 AP900114-0070 AP900115-0202 AP900203-0035 AP900203-0173
q137 AP900224-0052 AP900114-0070 AP900115-0202 AP900203-0035 AP900203-0173 AP900204-0064
q137 AP900311-0026 AP900115-0202 AP900203-0035 AP900203-0173 AP900204-0064 AP900224-0052
q137 AP900329-0190 AP900203-0035 AP900203-0173 AP900204-0064 AP900224-0052 AP900311-0026
q137 AP900330-0115 AP900203-0173 AP900204-0064 AP900224-0052 AP900311-0026 AP900329-0190
q137 AP900402-0223 AP900204-0064 AP900224-0052 AP900311-0026 AP900329-0190 AP900330-0115
q137 WSJ900406-0095 AP900224-0052 AP900311-0026 AP900329-0190 AP900330-0115 AP900402-0223
q137 AP900407-0001 AP900311-0026 AP900329-0190 AP900330-0115 AP900402-0223 WSJ900406-0095
q137 AP900420-0281 AP900329-0190 AP900330-0115 AP900402-0223 WSJ900406-0095 AP900407-0001
q137 WSJ900423-0084 AP900330-0115 AP900402-0223 WSJ900406-0095 AP900407-0001 AP900420-0281
q137 WSJ900426-0098 AP900402-0223 WSJ900406-0095 AP900407-0001 AP900420-0281 WSJ900423-0084
q137 WSJ900504-0029 WSJ900406-0095 AP900407-0001 AP900420-0281 WSJ900423-0084 WSJ900426-0098
q137 WSJ900509-0126 AP900407-0001 AP900420-0281 WSJ900423-0084 WSJ900426-0098 WSJ900504-0029
q137 WSJ900514-0087 AP900420-0281 WSJ900423-0084 WSJ900426-0098 WSJ900504-0029 WSJ900509-0126
q137 WSJ900515-0068 WSJ900423-0084 WSJ900426-0098 WSJ900504-0029 WSJ900509-0126 WSJ900514-0087
q137 AP900516-0285 WSJ900426-0098 WSJ900504-0029 WSJ900509-0126 WSJ900514-0087 WSJ900515-0068
q137 AP900521-0069 WSJ900509-0126 WSJ900514-0087 WSJ900515-0068 AP900516-0285 WSJ900517-0077
q137 AP900522-0058 WSJ900514-0087 WSJ900515-0068 AP900516-0285 WSJ900517-0077 AP900521-0069
q137 AP900522-0135 WSJ900515-0068 AP900516-0285 WSJ900517-0077 AP900521-0069 AP900522-0058
q137 WSJ900525-0097 AP900516-0285 WSJ900517-0077 AP900521-0069 AP900522-0058 AP900522-0135
q137 AP900531-0241 WSJ900517-0077 AP900521-0069 AP900522-0058 AP900522-0135 WSJ900525-0097
q137 AP900601-0238 AP900521-0069 AP900522-0058 AP900522-0135 WSJ900525-0097 AP900531-0241
q137 WSJ900607-0143 AP900522-0058 AP900522-0135 WSJ900525-0097 AP900531-0241 AP900601-0238
q137 AP900607-0180 AP900522-0135 WSJ900525-0097 AP900531-0241 AP900601-0238 WSJ900607-0143
q137 AP900607-0208 WSJ900525-0097 AP900531-0241 AP900601-0238 WSJ900607-0143 AP900607-0180
q137 AP900607-0232 AP900531-0241 AP900601-0238 WSJ900607-0143 AP900607-0180 AP900607-0208
q137 AP900608-0219 AP900601-0238 WSJ900607-0143 AP900607-0180 AP900607-0208 AP900607-0232
q137 WSJ900611-0021 WSJ900607-0143 AP900607-0180 AP900607-0208 AP900607-0232 AP900608-0219
q137 AP900616-0137 AP900607-0180 AP900607-0208 AP900607-0232 AP900608-0219 WSJ900611-0021
q137 WSJ900621-0080 AP900607-0208 AP900607-0232 AP900608-0219 WSJ900611-0021 AP900616-0137
q137 AP900628-0119 AP900607-0232 AP900608-0219 WSJ900611-0021 AP900616-0137 WSJ900621-0080
q137 AP900629-0212 WSJ900611-0021 AP900616-0137 WSJ900621-0080 AP900628-0119 AP900629-0211
q137 WSJ900720-0145 WSJ900621-0080 AP900628-0119 AP900629-0211 AP900629-0212 AP900704-0005
q137 AP900723-0198 AP900628-0119 AP900629-0211 AP900629-0212 AP900704-0005 WSJ900720-0145
q137 WSJ900801-0100 AP900629-0211 AP900629-0212 AP900704-0005 WSJ900720-0145 AP900723-0198
q137 AP900801-0223 AP900629-0212 AP900704-0005 WSJ900720-0145 AP900723-0198 WSJ900801-0100
q137 WSJ900808-0157 AP900704-0005 WSJ900720-0145 AP900723-0198 WSJ900801-0100 AP900801-0223
q137 AP900818-0089 WSJ900720-0145 AP900723-0198 WSJ900801-0100 AP900801-0223 WSJ900808-0157
q137 WSJ900823-0129 AP900723-0198 WSJ900801-0100 AP900801-0223 WSJ900808-0157 AP900818-0089
q137 AP900824-0109 WSJ900801-0100 AP900801-0223 WSJ900808-0157 AP900818-0089 WSJ900823-0129
q137 AP900828-0204 AP900801-0223 WSJ900808-0157 AP900818-0089 WSJ900823-0129 AP900824-0109
q137 WSJ900829-0084 WSJ900808-0157 AP900818-0089 WSJ900823-0129 AP900824-0109 AP900828-0204
q137 WSJ900831-0151 AP900818-0089 WSJ900823-0129 AP900824-0109 AP900828-0204 WSJ900829-0084
q137 WSJ900917-0027 WSJ900823-0129 AP900824-0109 AP900828-0204 WSJ900829-0084 WSJ900831-0151
q137 WSJ900925-0039 AP900824-0109 AP900828-0204 WSJ900829-0084 WSJ900831-0151 WSJ900917-0027
q137 WSJ900926-0057 AP900828-0204 WSJ900829-0084 WSJ900831-0151 WSJ900917-0027 WSJ900925-0039
q137 WSJ900926-0104 WSJ900829-0084 WSJ900831-0151 WSJ900917-0027 WSJ900925-0039 WSJ900926-0057
q137 AP900926-0232 WSJ900831-0151 WSJ900917-0027 WSJ900925-0039 WSJ900926-0057 WSJ900926-0104
q137 WSJ900927-0086 WSJ900917-0027 WSJ900925-0039 WSJ900926-0057 WSJ900926-0104 AP900926-0232
q137 WSJ900927-0105 WSJ900925-0039 WSJ900926-0057 WSJ900926-0104 AP900926-0232 WSJ900927-0086
q137 AP901010-0095 WSJ900926-0057 WSJ900926-0104 AP900926-0232 WSJ900927-0086 WSJ900927-0105
q137 AP901015-0247 WSJ900926-0104 AP900926-0232 WSJ900927-0086 WSJ900927-0105 AP901010-0095
q137 AP901024-0021 AP900926-0232 WSJ900927-0086 WSJ900927-0105 AP901010-0095 AP901015-0247
q137 AP901024-0283 WSJ900927-0086 WSJ900927-0105 AP901010-0095 AP901015-0247 AP901024-0021
q137 AP901205-0271 WSJ900927-0105 AP901010-0095 AP901015-0247 AP901024-0021 AP901024-0283
q137 AP901215-0102 AP901010-0095 AP901015-0247 AP901024-0021 AP901024-0283 AP901205-0271
q115 WSJ880125-0152 WSJ880113-0100
q115 WSJ880209-0061 WSJ880113-0100 WSJ880125-0152
q115 AP880226-0059 WSJ880113-0100 WSJ880125-0152 WSJ880209-0061
q115 AP880302-0033 WSJ880113-0100 WSJ880125-0152 WSJ880209-0061 AP880226-0059
q115 AP880308-0239 WSJ880113-0100 WSJ880125-0152 WSJ880209-0061 AP880226-0059 AP880302-0033
q115 AP880316-0100 WSJ880209-0061 AP880226-0059 AP880302-0033 AP880308-0239 AP880309-0065
q115 WSJ880318-0133 AP880226-0059 AP880302-0033 AP880308-0239 AP880309-0065 AP880316-0100
q115 AP880318-0169 AP880302-0033 AP880308-0239 AP880309-0065 AP880316-0100 WSJ880318-0133
q115 AP880318-0173 AP880308-0239 AP880309-0065 AP880316-0100 WSJ880318-0133 AP880318-0169
q115 AP880318-0194 AP880309-0065 AP880316-0100 WSJ880318-0133 AP880318-0169 AP880318-0173
q115 AP880320-0037 AP880316-0100 WSJ880318-0133 AP880318-0169 AP880318-0173 AP880318-0194
q115 WSJ880328-0062 WSJ880318-0133 AP880318-0169 AP880318-0173 AP880318-0194 AP880320-0037
